"","one","two","three","four","five"
"137","bee","dream sequence","egg","scatological humor","squashed bug"
"138","china","kung fu","panda","peacock","tigress"
"139","avatar","fire","kingdom","tribe","water"
"140","arms dealer","fictional government agency","mission","rescue","vatican"
"141","black u.s. president","president","secret service","tour","white house"
"142","boy","martian","rescue","robot","sexism"
"143","boat","frog","rat","sewer","toad"
"144","1940s","child hero","fantasy world","orphan","reference to peter pan"
"145","dog","father son relationship","inventor","talking dog","time travel"
"146","greek","mythology","prince","trojan","troy"
"147","animal","circus","island name in title","lemur","penguin"
"148","catfight","clinic","colonel","diamond","patricide"
"149","ghost","ghostbuster","ghostbusters","male objectification","reboot"
"150","asteroid","astronaut","bomb","meteorite","outer space"
"151","alien","lingerie","lingerie model","m.i.b.","pug"
"152","creature","demon","king","reward","warrior"
"153","china","kung fu","panda","pig","village"
"154","dubai","kremlin","race against time","russian","terrorist"
"155","belief","box office hit","children","new york city","tooth"
"156","animal abuse","ceo","heist","suburb","unemployment"
"157","captain","emperor","honor","japan","samurai"
"158","egypt","exodus","moses","pharaoh","plague"
"159","box office hit","future","lifted by the throat","star trek","vulcan"
"160","evil","goblin","spider","spider man","superhero"
"161","dragon","father son relationship","husband wife relationship","mother son relationship","viking"
"162","ancient egypt","egypt","egyptian","egyptian god","egyptian goddess"
"163","artificial intelligence","box office flop","fighter jet","navy","pilot"
"164","conspiracy","cynicism","false promise of the american dream","male full frontal nudity","male nudity"
"165","kung fu","lapd","martial arts","private investigator","triad"
"166","1980s","c 130 hercules","monster","panzer","san francisco california"
"167","general","gi joe","martial arts","ninja","president"
"168","beach","civil war","desert","dictator","ship"
"169","general","military","scientist","soldier","year 2065"
"170","arctic","captain america","scientist","tesseract","war bond"
"171","british","oil","scientist","terrorist","tycoon"
"172","1800s","napoleonic wars","pursuit","royal navy","ship"
"173","battle","friend","super strength","vampire","vision"
"174","3d","antarctica","krill","penguin","sequel"
"175","antidote","cure","hulk","marvel cinematic universe","opening action scene"
"176","cult tv","detective","drugs","police","undercover"
"177","cannibal","evil brother","giant","london england","queen"
"178","bear attack","cauterizing a wound","native american","revenge","survival"
"179","accident","freak accident","race","snail","underdog"
"180","chameleon","lizard","sheriff","water","western town"
"181","little girl","park","spy","statue of liberty","television van"
"182","action hero","cia","dark past","flashback","memory"
"183","kung fu","kung fu master","master","panda","snow leopard"
"184","ant","chinatown san francisco","heist","sabotage","vault"
"185","president","snow","television","tour","uprising"
"186","alien friendship","alien invasion","australia","flying car","mother daughter relationship"
"187","alien","fight","storm","survival","tripod"
"188","cuba","dea","drugs","money","undercover"
"189","betrayal","egg","friend","goose","hero"
"190","cia","on the run","russian","russian spy","strong female lead"
"191","ark","flood","noah's ark","water","wrath of god"
"192","captain","morocco","ship","tintin","treasure"
"193","magic","muggle","serial killer","traitor","wizard"
"194","australia","cattle","darwin","drover","japanese"
"195","box office flop","father son team","fear","race against time","real life father and son playing father and son"
"196","egg","iguanodon","lemur","meteor","nesting grounds"
"197","museum","museum of natural history manhattan new york city","night watchman","star died before release","tablet"
"198","battle","city","planet","prison","superhero"
"199","based on novel","birthday","evil wizard","quidditch","wizard"
"200","drug dealer","gold","partner","police","undead"
"201","caribbean","curse","governor","pirate","undead"
"202","based on young adult novel","manipulation","rebellion","symbol","uprising"
"203","based on supposedly true story","holy grail","mary magdalene","opus dei","secret"
"204","amazon","bird","father in law","jungle","no opening credits"
"205","mutant","prison","professor","school","x men"
"206","drug lord","drugs","federal agent","heist","police"
"207","factory","gypsy","investigation","sherlock holmes","train"
"208","famous line","hand to hand combat","kraken","rape","zeus"
"209","ambiguous ending","false memory","implanted memory","memory","space colony"
"210","arab","battle","combat","viking","warrior"
"211","assassin","cia","drone","pill","wolf"
"212","butler","critically bashed","cure","freeze","gotham"
"213","box office hit","christmas","materialism","public humiliation","snowflake"
"214","climate","end of the world","global warming","natural disaster","weather"
"215","cure","mission","terrorist","thief","virus"
"216","death","fish","fishing","sea","storm"
"217","fantastic four","space","strong female character","strong female lead","superheroine"
"218","animal","faith","india","journey","tiger"
"219","blackheart","devil","father","ghost","mephistopheles"
"220","black ops","chase","cia","cia agent","repeated scene"
"221","fbi","murder","ring","witness protection","witness protection program"
"222","cave painting","medical scanner","planet","pregnant with an alien fetus","suspended animation"
"223","anthropomorphic mouse","falcon","marshmallow","second part","soccer"
"224","christ figure","class differences","messiah","saviour","social commentary"
"225","bounty hunter","escape","necromonger","planet","warrior"
"226","law enforcement","police","robocop","robot","technology"
"227","based on anime","based on cartoon","gadget car","racer","speed"
"228","embarrassment","falling in love","love","love triangle","revelation"
"229","chase","fbi","garage","spy","surveillance"
"230","cabin in the woods","drone","flying through a thunderstorm","post apocalypse","sex in a pool"
"231","elongated cry of no","friends become enemies","kicked in the butt","robotic midwife","vision"
"232","martial arts","murdered before giving protagonist information","part computer animation","prequel","prequel to cult film"
"233","friend","little girl","monster","rival","scream"
"234","healing power","marvel comics","mecha","regeneration","self healing"
"235","alien","character says i have a bad feeling about this","hand to hand combat","seven word title","wilhelm scream"
"236","cave","caveman","journey","strict father","survival"
"237","1st century b.c.","lightsaber","local blockbuster","magical potion","potion"
"238","code","duty","steel helmet","u.s. marine","u.s. soldier"
"239","based on fairy tale","dark fantasy","fairy tale","second part","sequel"
"240","18 wheeler","mutant","ninja","sewer","turtle"
"241","box office hit","long take","sole survivor","space","space station"
"242","ash","escape","lava","mayor","volcano"
"243","based on comic book","brother brother relationship","rat","sequel","turtle"
"244","box office flop","critically bashed","portal","teleportation","troubled production"
"245","chaos","museum","museum of natural history","night watchman","watchman"
"246","disaster movie","earthquake","journey","natural disaster","san andreas fault"
"247","ex boyfriend ex girlfriend relationship","media tycoon","megalomaniac","official james bond series","world war three"
"248","american revolution","british","french","hero","standoff"
"249","father daughter relationship","heist","pretending to be pregnant","sequel","thief"
"250","assassin","marriage","secret agent","suburb","target"
"251","action heroine","falling from height","mind control","trainhopping","truth serum"
"252","1920s","aviation","fight","spruce goose","test flight"
"253","bermuda triangle","box office hit","shipwrecked","travel","travel writer"
"254","heir","kung fu","party","playboy","superhero"
"255","1980s","cult tv","famous opening theme","good versus evil","hero for hire"
"256","army","commander","female rear nudity","greek","navy"
"257","blue","new york","new york city","no opening credits","smurf"
"258","cattle","cow","dairy farm","farm","rustler"
"259","based on young adult novel","dystopia","genetic experimentation","strong female character","strong female lead"
"260","arena","boxing","boxing movie","robot","robot battle"
"261","based on cartoon","box office hit","no opening credits","sequel","smurf"
"262","collision course","computer","cruise","diamonds","ship run aground"
"263","alien","future","manipulation","simulation","training"
"264","fbi","hacker","independence day","police","terrorist"
"265","elf","hobbit","middle earth","quest","ring"
"266","19th century","around the world","inventor","martial arts","train"
"267","african american protagonist","african americans","boxing gym","gym","rumble in the jungle"
"268","based on cult comic book","cat","home alone","imagination","talking cat"
"269","humanoid robot","man versus machine","prosthetic limb","robot as pathos","robot vs. robot"
"270","12th century","crusader","jerusalem","knight","medieval times"
"271","box office hit","cat","first part","mouse","orphanage"
"272","amphibian","dream","frog","frog prince","waitress"
"273","astronaut","international cooperation","left for dead","nasa","space habitat"
"274","clone","environment","escape","island","lottery"
"275","anniversary","architect","cellist","friend","hardware store"
"276","auto theft","brother","car","theft","thief"
"277","battlefield","blood","combat","gladiator","roman empire"
"278","future","murder","neo noir","washington d.c.","year 2054"
"279","bildungsroman","flying broom","invisibility cloak","monster","wizardry"
"280","casino","espionage","free running","james bond","terrorist"
"281","astronaut","cage","planet","wilhelm scream","year 2029"
"282","future","liquid metal","multiple cameos","sexy woman","time travel"
"283","1930s","bank","celebrity criminal","fbi","public enemy number one"
"284","death","heroin","popcorn","smuggling","vietnam"
"285","espionage","secret agent","secret mission","spy","spy film"
"286","hijack","hostage","ransom","subway","train"
"287","birthday","critically bashed","male nurse","nurse","suspicion"
"288","capitalist","detective","investigation","new york city","police"
"289","assassination attempt","corporate crime","rogue agent","witness","witness protection program"
"290","dynamite","historically inaccurate","ku klux klan","n word","slavery"
"291","15th century","cathedral","gypsy","paris","victor hugo"
"292","antidote","disney","emperor","first part","llama"
"293","church","hostage","mine","plutonium","revenge"
"294","declaration of independence","secret society","treasure","treasure hunt","treasure hunter"
"295","dragon","dragon rider","fictional war","sword and fantasy","teenage hero"
"296","based on children's book","creature","igloo","imagination","king"
"297","father daughter relationship","forest","miniature person","shrinking","sword and fantasy"
"298","police surveillance","surveillance van","tailing a suspect","tourist","venice italy"
"299","atheist","ex cop","female masturbation","female nudity","lucifer"
"300","diamond","elephant","fisherman","rebel","sierra leone"
"301","based on true story","fellatio","female rear nudity","sex in an airplane","stockbroker"
"302","love","necktie","partner","rock music","tuxedo"
"303","alien","federation","future","military","planet"
"304","composer","future","letter","nonlinear timeline","nursing home"
"305","barn owl","escape","owl","ruler","soldier"
"306","based on cult comic book","bechdel test passed","cat","detective","radical transformation"
"307","army","greek mythology","hercules","king","mercenary"
"308","alien","cyborg","pirate","planet","treasure"
"309","human versus dinosaur","lizard","primate","time travel","tyrannosaurus rex"
"310","battle","fight","mission","pg 13 sequel to r rated franchise","rescue"
"311","athlete","extreme sports","fbi","fbi agent","heist"
"312","baby","cartoon on tv","cartoonist","dog","mask"
"313","emaciation","ship","starvation","vomiting","whale"
"314","casino","future","laser gun","moon","nightclub"
"315","cia","iraq","iraqi","political military conspiracy","weapon of mass destruction"
"316","dog","girl","imagination","peanuts","red hair"
"317","brother sister relationship","extradition","fbi","japanese tourist","secret"
"318","ancient egypt","bracelet","king","scorpion","son"
"319","butcher","civil war","gangster","new york city","revenge"
"320","abusive stepfather","attempted rape","food shortage","sexual abuse","starving child"
"321","chicken","competition","island","penguin","surfing"
"322","community","connecticut","fem bot","tv producer","writer"
"323","army","helicopter","somali","somalia","warlord"
"324","campaigning","congressman","north carolina","title at the end","u.s. congressman"
"325","1910s","alien","artificially created woman","love","taxi driver"
"326","abu dhabi","box office hit","muslim","nanny","united arab emirates"
"327","adventurer","el dorado","gold","high priest","implied sex"
"328","acorn","herd","iceberg","ocean","pirate"
"329","dress","duke","fairy godmother","fairy tale","pumpkin"
"330","1970s","afterlife","heaven","pedophile","rape"
"331","great barrier reef","protective father","separation from family","shark","short term memory loss"
"332","battle","epic","king","orc","ring"
"333","epic","evil wizard","middle earth","ring","wizard"
"334","apprentice","demon","exorcism","master apprentice relationship","witch"
"335","illuminati","planetary alignment","time","tomb","tomb raider"
"336","artificial intelligence","consciousness","power outage","scientist","technology"
"337","dinosaur","island","jurassic park","paleontologist","search"
"338","alzheimer's disease","ape","chimpanzee","fire","when animals attack"
"339","actor playing multiple roles","brownie the creature","closing credits sequence","family relationships","magical creature"
"340","bomb","cia","courthouse","escape","russian"
"341","army","dictator","general","texan","texas"
"342","hero","island","lawsuit","secret","superhero"
"343","latin","pirate","pirate ship","treasure","treasure map"
"344","greek","lightning","lightning bolt","poseidon","teenager"
"345","alien","box office hit","flying saucer","laser gun","wisecrack humor"
"346","collector","dog","friend","rescue","toy"
"347","freight train","race against time","runaway train","train","train engineer"
"348","boat","gang","hong kong","triad","vacation"
"349","ghost","haunted house","research","secret","vermont"
"350","food","giant food","mayor","sardine","weather"
"351","egg","lost world","rescue","squirrel","weasel"
"352","daydream","life magazine","magazine","photographer","snow leopard"
"353","booty shake","box office hit","duct tape over mouth","first part","martial arts"
"354","boston","mole","police","undercover","undercover cop"
"355","based on poem","based on true story","china","one word title","the huns"
"356","film director","parody","spoof","vietnam","written and directed by cast member"
"357","computer hacker","hacker","investigation","journalist","punk"
"358","bomb","detective","new york city","police","terrorist"
"359","black magic","bridge construction","professor moriarty","scotland yard inspector","sherlock holmes"
"360","atlantis","crew","expedition","journal","museum"
"361","chipmunk","highway travel","on the road","plane","road movie"
"362","american actor playing foreigner","assassination","conspiracy","military","nazis"
"363","hair stylist","jew","landlord","muslim","palestinian"
"364","alien","arcade game","chase","driving in reverse","video gamer"
"365","affection","boy","fairy","future","robot"
"366","arachnophobia","crystal ball","ghost","haunted house","thunderstorm"
"367","message from outer space","religion","religion versus science","scientist","universe"
"368","experiment","research","scientist","suburb","surrealism"
"369","african","assassination","dialect","interpreter","threat"
"370","golden fleece","half brother","magical tree","sea","tree"
"371","duology","female hero","female lead","orb","pandora's box"
"372","card trick","london england","magician","rain machine","rooftop"
"373","cold fusion","disguise","energy","fusion","the saint"
"374","china","cia","cold war","friendship","retirement"
"375","astronaut","mars","mars the planet","outer space","zero gravity"
"376","bird","brazilian","cockatoo","macaw","minnesota"
"377","23rd century","android","artificial intelligence","dual role","robot"
"378","earthquake","fire","lava","rescue","volcano"
"379","friendship","murder","northern ireland","police officer","terrorist"
"380","courage","radiation sickness","radioactive contamination","sea","test launch"
"381","actual animal killed","cult","evil sorcerer","gladiator","warlord"
"382","boxer","boxing","dream","great depression","love"
"383","box office flop","christmas","christmas eve","critically bashed","toy comes to life"
"384","horse","horse racing","jockey","limp","seabiscuit"
"385","device","disaster","divorce","storm","tornado"
"386","christmas","island","love","survival","talking to inanimate object"
"387","dance","emperor penguin","friend","penguin","song"
"388","assassin","car chase","cia","hidden truth","one against many"
"389","ex soldier","hijacker","hostage","president","terrorist"
"390","card dealer","casino","criminal mastermind","recruiting","ulcer"
"391","box office flop","cardinal richelieu","critically bashed","duel","musketeer"
"392","dracula","hotel","invisible man","monster","transylvania"
"393","fairy tale","lawyer","love","new york","prince"
"394","blood","cannibalism","fbi","manipulation","psychiatrist"
"395","cia","cia agent","consulate","on the run","safe house"
"396","dog","parole","parole officer","prison","puppy"
"397","apartment","fbi","fraud","heist","manager"
"398","book","composer","house","love","self esteem"
"399","congressman","lawyer","nsa","on the run","surveillance"
"400","affair","divorce","graduation","vomiting","watching television"
"401","casino","heist","manmade earthquake","revenge","tunnel boring machine"
"402","bear","deer","forest","grizzly bear","hunter"
"403","army","brother sister relationship","dystopia","father son relationship","narrated by character"
"404","battle","german","russian","sniper","stalingrad"
"405","amazon","bounty hunter","fight","hunter","jungle"
"406","action hero","hero","magic","ticket","video store"
"407","coming of age","geisha","japan","jealousy","love"
"408","car","challenge","drift racing","drifting","tokyo japan"
"409","christmas","christmas eve","elf","high tech","resentment"
"410","birthday","death","death personified","fear of death","wealth"
"411","bare chested boy","car explosion","colombia","explosion","terrorism"
"412","dancer","editing","stand up comedian","surgery","vomiting"
"413","kingdom","prince","princess","queen","snow"
"414","band","dating","high school","hipster","rock band"
"415","core","earth","natural disaster","pacemaker","scientist"
"416","alter ego","marriage","professor","scientist","serum"
"417","amusement park","island","motorcycle","scooby doo","tough girl"
"418","brutality","dark humor","female antagonist","female warrior","post apocalypse"
"419","architect","frozen time","obese man","remote control","stopped time"
"420","anthology","child abuse","critically acclaimed","death","grindhouse"
"421","cartoon on tv","cat","dog","kitty","special agent"
"422","bank","based on novel","ice","teleportation","vault"
"423","creature","elf","prince","rebellion","superhero"
"424","cartoonist","reporter","serial killer","zodiac","zodiac killer"
"425","clone","cloning","future","laser gun","murder"
"426","answer to prayer","breast expansion","pleading with god","supernatural power","walking on water"
"427","action hero","assassination attempt","explosion","machine gun","rescue mission"
"428","disguise","mission","spy","stealing","traitor"
"429","fight to the death","game","massacre","self survival","suicide attempt"
"430","hotel","male frontal nudity","pubic hair","thailand","wedding"
"431","box office hit","dc comics","gotham","mayor","penguin"
"432","bear","food","forest","raccoon","turtle"
"433","alien","escape","fugitive","hawaii","social worker"
"434","barn","pig","piglet","spider","uncle"
"435","astronomer","comet","mission","president","secretary"
"436","cia","cia agent","rescue","russian","team"
"437","coach","convict","football","prison","warden"
"438","chipmunk","cruise ship","football ball","overboard","tennis ball"
"439","belching","number in title","party","reference to nicki minaj","sneezing"
"440","airplane","misunderstanding","obese woman","overweight woman","spy"
"441","beach","dating","doctor","heart attack","weekend"
"442","female prisoner","plot twist","self delusion","surprise ending","year 1954"
"443","airport","christmas","news broadcast","tv broadcast","tv news"
"444","actor voicing multiple characters","box office hit","coffee","plate","robot"
"445","death of child","face","face transplant","prison","terrorist"
"446","2000s","bedtime story","elephant","handyman","tween girl"
"447","1930s","blood","gun","on the run","revenge"
"448","chick flick","hawaii","love","plastic surgeon","woman wearing a string bikini"
"449","corruption","lawyer","partnership","superhero","vigilante"
"450","army rangers","convict","criminal","escape","prison"
"451","audio surveillance","death","pentagon","technology","twin brother"
"452","civil war","mountain","soldier","well","wounded soldier"
"453","blind","book","long take","post apocalypse","water"
"454","college","flubber","flying rubber","professor","wedding"
"455","greenhouse","haunted house","horror movie remake","mansion","old house"
"456","alien","basketball","basketball game","cult film","monstars"
"457","diamond","france","investigation","pink panther","soccer"
"458","alien","earth","giant robot","military","scientist"
"459","conspiracy","fbi","mk ultra","newsletter","taxi"
"460","battle","battlefield","brutality","combat","tank"
"461","airplane","island","pilot","storm","thunderstorm"
"462","bear","mayor","park","sabotage","yogi bear"
"463","cavalry","escape","herd","stallion","wild stallion"
"464","champagne bottle","coca cola","jewelry box","red bull","zoo"
"465","based on tv series","remake","robot","scientist","spaceship"
"466","brainwashed assassin","conspiracy","critically acclaimed","mother son relationship","soldier"
"467","american","love","pin","ruby","stranger"
"468","california","dracula","hotel","transylvania","vampire"
"469","connecticut","magic","marriage","witch","witchcraft"
"470","abstract","ark","disney","fairy tale","piano"
"471","hunter","scientist","time machine","time travel","time travel romance"
"472","animal","california","gorilla","hunter","poacher"
"473","computer","secret agent","terrorism","told in flashback","wearing a sound wire"
"474","california","fight","hero","mask","zorro"
"475","heaven","hell","soul","soul mate","suicide"
"476","angel","devil","flask","hell","the devil"
"477","creature","curse","exorcism","girl","village"
"478","alien","general","martian","president","weapon"
"479","boy","giving birth","nurse","sea","ultrasonography"
"480","bear","billionaire","crash","survival tactics","wilderness"
"481","android","fbi agent","future","murder","robot"
"482","blockade","crisis","cuba","missile","president"
"483","collapsing tunnel","explosion","new jersey","tunnel","weimaraner"
"484","brother","dinosaur","head butt","hero","orphan"
"485","alien","bad acting","pulp fiction","resistance fighter","voyager golden record"
"486","diamond","duck","monkey","spy","stuntman"
"487","based on stage musical based on film","child abuse","film director","italian","mistress"
"488","castle","france","professor","student","time machine"
"489","drifter","escape","hope","postman","usa"
"490","animal","farm","farmer","hotel","pig"
"491","box office flop","burned to death","magic","witch","witch hunter"
"492","astronaut","mars","robot","robot as menace","survival"
"493","boy","debt","garden","princess","treasure"
"494","damselfish","ocean habitat","ocean life","razorfish","spider crab"
"495","butterfly","hunter","time","time travel","wave"
"496","arena","lava bomb","mount vesuvius","pompeii","slave"
"497","conspiracy","cryptography","mathematician","mental illness","nobel prize"
"498","king","prince","scar","uncle","unnecessary guilt"
"499","gold","hurricane","island","mountain","mysterious island"
"500","food","inventor","island","orangutan","scientist"
"501","criminal profile","fbi agent","madman","tabloid reporter","tragic villain"
"502","arab","cowboy","horse","race","sheik"
"503","advertising","advertising executive","commercial","protective male","twins"
"504","bust","racing","shotgun","street racing","undercover agent"
"505","aviator","based on book","girl","little girl","the little prince"
"506","alien","epidemic","psychiatrist","space shuttle","virus"
"507","deforestation","fbi","lighthouse","moose","squirrel"
"508","animal control","lost animal","mongrel","pet","terrier"
"509","box office flop","captain nemo","dorian gray","invisible man","steampunk"
"510","dating","minion","overprotective father","undercover spy","woman agent"
"511","alien","area 51","military","spacecraft","spaceship"
"512","capture","dinosaur","island","jurassic","jurassic park"
"513","escape","jungle","lemur","madagascar","zoo"
"514","chaos","england","long take","survival","violence"
"515","first part","mutant","professor","superhero","superhero team"
"516","assassin","bobble head doll","femme fatale","rejuvenation","strong female lead"
"517","alcatraz","fbi","general","hostage","rocket"
"518","flood","mammoth","no opening credits","squirrel","valley"
"519","dream","hawaii","hawaiian shirt","short term memory loss","veterinarian"
"520","audition","best friend","dance","friend","tv dance show"
"521","archeologist","church","excavation","faith","relic"
"522","actor playing multiple roles","claw","gadget","inspector","police"
"523","bank","fbi","heist","interpol","magician"
"524","basketball","coach","daughter","high school","high school basketball"
"525","airport","construction site","fish out of water","flight attendant","man without a country"
"526","based on comic","based on comic book","dc arrowverse","dc comics","supernatural"
"527","abandoned hotel","dog","foster home","overalls","playing with a dog"
"528","death","die hard scenario","k2","rescue","urination"
"529","afghanistan","arms dealer","based on true story","cia","texas"
"530","anchor","fish","mobster","shark","vegetarian"
"531","1960s","fire","pop chart","singer","trio"
"532","cop","murder","partner","police","protective male"
"533","concert","mobster","russian","sequel","widow"
"534","arab","black september","israel","jew","munich olympics"
"535","dictator","doctor","jungle","rebel","refugee"
"536","hired killer","marriage","neighbor","on the run","store clerk"
"537","box office flop","cia agent","criminal organization","kgb agent","nuclear bomb"
"538","chef","college","housekeeper","letter","mexico"
"539","babysitter","halloween","house","neighbor","suburb"
"540","bank manager","hypochondriac","love triangle","prison","television"
"541","battle","king","king arthur","knight","marriage"
"542","1860s","children","king","schoolteacher","siam"
